SOC_CODE,Probability,Capital Region Employment,Central New York Region Employment,Finger Lakes Region Employment,Hudson Valley Region Employment,Long Island Region Employment,Mohawk Valley Region Employment,New York City Region Employment,New York State Employment,North Country Region Employment,Southern Tier Region Employment,Western New York Region Employment
11-1011,0.015,1050,570,880,1480,1910,300,7350,15410,360,480,910
11-1021,0.16,8270,5700,9200,16690,24590,2600,77730,162890,1980,4300,10910
11-2011,0.039,60,0,60,120,,0,4550,5140,,0,70
11-2021,0.014,340,200,670,810,1110,70,12490,16510,50,170,430
11-2022,0.013,680,550,1040,1560,1990,150,12490,20180,50,200,1160
11-2031,0.015,420,110,200,340,280,,4270,6050,30,160,180
11-3011,0.73,940,430,870,1670,2620,180,10260,18510,180,350,810
11-3021,0.035,1470,520,1300,1900,2560,140,16270,25990,80,430,1070
11-3031,0.069,1570,840,1370,2600,3690,540,27050,40250,190,560,1620
11-3051,0.03,440,300,610,540,840,90,940,4780,110,280,600
11-3061,0.03,400,90,190,350,510,0,1890,3890,0,160,210
11-3071,0.59,170,130,140,350,570,0,1300,3340,40,90,240
11-3111,0.96,120,0,70,0,120,,970,1490,,0,60
11-3121,0.0055,640,170,390,530,790,80,6850,10090,40,170,340
11-3131,0.0063,190,60,250,300,220,0,1790,3040,20,0,110
11-9013,,,,,,,,,0,,,
11-9021,0.071,710,340,840,1260,1650,,6660,12630,120,230,530
11-9031,0.015,310,160,,640,750,90,2250,4860,30,100,320
11-9032,0.0046,770,530,1150,3090,2730,380,8440,19260,310,570,1290
11-9033,0.01,670,420,950,890,1070,240,5770,11380,230,500,640
11-9041,0.017,720,360,690,900,820,0,2730,7430,40,420,590
11-9051,0.083,370,270,490,860,890,120,2180,6010,100,210,500
11-9071,,,,,,,,,0,,,
11-9081,0.0039,0,0,,0,0,,260,560,,,50
11-9111,0.0073,1670,700,1290,2740,4170,510,12750,26010,370,520,1210
11-9121,0.018,210,80,90,370,230,,780,1900,0,0,90
11-9131,0.75,90,60,80,200,150,60,,880,70,70,90
11-9141,0.81,270,100,320,230,610,50,5510,7510,20,60,310
11-9151,0.0067,820,420,670,1450,1030,240,6060,11960,250,350,640
11-9161,0.003,100,0,0,110,0,0,0,600,20,0,0
11-9199,0.25,1250,480,650,1190,1220,250,7630,14640,320,,990
13-1011,0.24,0,,0,,0,,2470,3050,,,
13-1021,0.87,0,0,0,0,0,,0,300,,,0
13-1022,0.29,290,190,370,810,1400,90,4190,8120,80,130,470
13-1023,0.77,920,640,1260,1170,1470,310,6870,14750,180,580,1230
13-1031,0.98,1740,1000,1230,1030,4270,990,7670,20520,70,510,1530
13-1032,0.98,0,50,70,0,470,,,810,,0,60
13-1041,0.08,1630,750,1230,1720,1920,390,10170,21130,740,390,2070
13-1051,0.57,720,450,770,1170,2240,170,3060,9850,110,260,840
13-1081,0.012,170,110,400,370,440,0,1020,2960,70,70,230
13-1111,0.13,2790,730,1610,2810,3440,270,25340,40000,290,530,1730
13-1121,0.037,430,180,310,820,0,120,5650,9150,40,140,430
13-1141,0.47,780,230,350,500,790,60,5500,8910,50,160,390
13-1151,0.014,1300,630,1400,1880,1820,250,9430,18970,230,390,1360
13-1161,0.61,1650,920,2450,3840,4410,360,39630,56840,230,640,2120
13-1199,0.23,2130,760,1150,1640,2240,230,12910,23420,390,,1270
13-2011,0.94,4640,2750,4840,6520,13030,1040,68380,108810,660,1540,4830
13-2021,0.9,300,160,270,290,520,130,1040,3370,150,190,330
13-2031,0.94,570,0,140,210,280,0,1620,3430,50,80,100
13-2041,0.98,160,110,140,360,760,0,5340,7630,0,90,490
13-2051,0.23,830,350,960,1710,1590,210,41790,49020,0,310,980
13-2052,0.58,690,,600,2180,1880,120,20490,27790,80,300,770
13-2053,0.99,620,240,260,510,1140,500,4180,7870,,120,210
13-2061,0.17,110,90,0,100,190,,4300,5140,,0,170
13-2071,0.04,150,70,110,150,170,70,980,1910,20,0,120
13-2072,0.98,670,510,590,610,1700,330,5250,11250,190,390,1000
13-2081,0.93,1630,120,150,330,1320,0,1180,5270,50,60,330
13-2082,0.99,70,170,320,0,270,,940,2380,,130,160
13-2099,0.33,110,50,0,190,330,170,3070,4230,0,0,190
15-1111,0.015,60,,,,,130,480,920,,0,0
15-1121,0.0065,3820,680,2690,1980,3190,340,22310,38220,210,460,1960
15-1131,0.48,2170,560,1320,1400,2160,260,7790,17790,80,520,1250
15-1132,0.042,2290,1090,2550,2560,3870,320,33350,49360,90,1040,1700
15-1133,0.13,810,720,2110,1740,2020,230,9570,19010,20,580,940
15-1141,0.03,530,120,380,590,790,70,3550,6660,50,120,360
15-1142,0.03,1610,730,1610,2100,2860,310,12690,24600,210,630,1520
15-2011,0.21,140,,,,,0,1680,2410,,0,0
15-2021,,,,,,,,,0,,,
15-2031,0.035,190,150,170,510,220,60,4010,5700,,0,320
15-2041,0.22,90,0,0,0,0,,690,1040,,0,0
15-2091,,,,,,,,,0,,,
17-1011,0.018,350,180,260,,,0,9820,12550,60,90,390
17-1012,0.045,160,80,0,0,200,0,590,1470,,,50
17-1021,,,0,,0,,,0,0,,,
17-1022,0.38,140,0,150,230,270,,560,1680,40,0,80
17-2011,,,50,,0,140,,0,380,,0,
17-2031,0.037,50,,270,0,0,,0,780,,0,
17-2041,0.017,270,0,310,160,0,,0,1130,,50,170
17-2051,0.019,1310,570,990,1690,1880,190,7060,15450,210,440,800
17-2061,0.22,70,130,310,0,170,70,350,1630,,,0
17-2071,0.1,1600,650,1310,2160,1420,160,2810,11270,20,470,570
17-2072,0.025,230,170,370,310,970,,610,3450,20,220,180
17-2081,0.018,540,240,130,300,470,60,1020,3290,90,90,310
17-2111,0.028,230,50,,320,210,0,530,1830,20,100,120
17-2112,0.029,1390,760,1700,1320,1180,160,1150,10290,110,1120,1370
17-2121,,,,,,,,0,0,,,
17-2131,0.021,280,50,80,0,0,0,0,1220,0,,
17-2141,0.011,1600,730,1680,990,1360,220,2210,11320,90,810,1490
17-2151,,,,,,,,,0,,,
17-2161,,,0,70,,,,,540,,,
17-2199,0.014,240,230,370,,390,,680,2770,20,0,180
17-3011,0.52,440,200,270,560,1020,0,3280,6210,30,110,250
17-3012,0.81,80,120,190,0,180,,600,1480,,90,110
17-3013,0.68,220,200,320,250,560,60,1170,3750,30,160,750
17-3021,,,,,,,,,0,,,
17-3022,0.75,190,100,140,370,320,0,460,1840,20,60,110
17-3023,0.84,470,320,880,900,1040,60,1270,5880,40,440,430
17-3024,,,,60,0,110,,,530,,0,0
17-3025,0.25,90,80,90,0,210,,400,1220,0,0,0
17-3026,0.03,510,130,700,270,200,0,0,3170,40,620,280
17-3027,0.38,270,100,190,0,290,0,0,1550,,180,150
17-3029,0.24,320,80,230,0,110,0,550,2030,70,,140
17-3031,0.96,90,100,,210,530,0,0,1480,50,90,90
19-1011,,,,,,,,,0,,150,
19-1012,,,0,90,140,0,,0,580,,60,70
19-1013,,,,0,,0,,0,0,,50,0
19-1021,0.027,210,,60,0,230,,0,1530,0,90,
19-1022,0.012,0,0,0,0,190,,260,1340,,70,0
19-1023,,,,,0,0,0,0,430,30,50,0
19-1029,0.015,0,0,0,,120,,250,620,,0,60
19-1031,0.016,0,0,0,,0,0,0,,20,0,0
19-1032,0.0081,0,,,,,0,,0,20,50,0
19-1041,,,,,0,0,,0,0,,,
19-1042,0.0045,610,,290,720,1120,0,5370,9900,,0,640
19-2012,0.1,0,0,,0,,0,0,1070,,220,
19-2021,0.67,90,,,0,0,,0,470,,,
19-2031,0.1,400,110,160,0,1070,0,930,4170,0,170,270
19-2032,0.021,70,0,,0,0,,,370,,,
19-2041,0.033,500,230,170,480,630,0,1210,3700,80,80,270
19-2042,0.63,170,50,0,0,110,0,290,940,,,60
19-2043,0.014,0,,,,100,,,0,,,0
19-2099,0.43,520,,50,0,,,310,970,,,
19-3011,0.43,70,,0,,0,0,380,570,,0,0
19-3022,,,,50,,,,290,620,,,
19-3031,0.0047,620,530,670,1830,1580,190,4710,11230,210,330,570
19-3039,,,,0,0,100,,270,610,20,,
19-3041,,,,,,,,270,290,,,
19-3051,0.13,130,50,120,190,0,0,680,1430,20,0,100
19-3091,,,,,,,,0,0,,,
19-3092,,,,,,,,,0,,,
19-3093,0.44,80,0,70,0,0,60,,460,60,0,0
19-3094,0.039,0,,,,,,0,0,,,
19-3099,0.04,210,70,70,0,0,,1830,2470,50,0,0
19-4011,0.97,0,,60,0,,,0,930,20,560,110
19-4021,0.3,420,240,120,410,390,0,1110,3440,60,350,270
19-4031,0.57,440,,150,0,480,0,500,2710,70,200,310
19-4041,,,,,,0,,,0,,,0
19-4061,0.65,1010,150,50,220,710,,2950,6340,,210,
19-4091,0.77,140,100,130,280,320,0,830,2170,20,50,210
19-4092,0.0095,130,,,0,0,,,720,,,0
19-4093,,,0,,0,,0,,410,30,,50
19-4099,0.61,220,160,610,230,590,70,2860,5120,20,130,
21-1011,0.033,520,260,360,840,800,180,3760,7590,210,180,470
21-1012,0.0085,1230,720,1660,2440,2200,670,10300,22620,480,1100,1800
21-1013,0.014,100,0,0,0,0,,280,730,,0,0
21-1014,0.0048,400,390,560,950,960,250,2480,6960,80,170,730
21-1015,0.0094,540,200,650,1900,880,450,3120,8750,200,190,590
21-1021,0.028,1380,560,1140,2130,2150,470,12410,22630,360,560,1400
21-1022,0.0035,690,350,950,1490,1360,270,6230,12540,180,330,680
21-1023,0.0031,580,520,720,1330,1260,350,4980,11040,190,350,760
21-1091,0.045,350,160,360,270,430,120,2760,4890,100,160,180
21-1092,0.25,420,280,440,730,450,210,1020,4450,290,180,410
21-1093,0.13,2520,1770,2520,4210,2290,830,15020,33340,740,1170,2240
21-2011,0.0081,720,310,470,700,,150,3830,8490,160,250,790
21-2021,0.025,250,160,240,350,550,50,1190,3360,80,60,440
23-1011,0.035,3410,1450,1980,4580,7970,460,48860,72760,370,580,2690
23-1012,,,,,0,,,,690,,,0
23-1021,,,0,,0,200,,870,1410,,,90
23-1022,0.06,90,0,0,0,0,,0,460,,50,0
23-1023,0.4,340,200,330,390,190,170,,3250,210,280,340
23-2011,0.94,1150,640,1010,1770,3120,100,12630,22220,140,360,1240
23-2091,0.5,0,0,0,0,230,,610,1380,,,110
23-2093,0.99,90,0,170,0,0,0,1420,3450,0,0,150
25-2011,0.0074,1810,1460,1850,5640,4750,520,20180,40000,370,930,2500
25-2012,0.15,450,250,730,1320,1350,210,1700,7400,210,450,750
25-2021,0.0044,3890,3300,5210,10810,13470,1940,29950,79560,1620,3100,6280
25-2022,0.17,2040,2260,2940,6640,6590,1180,14040,40350,870,970,2820
25-2023,0.26,140,220,150,260,320,70,0,1930,40,70,260
25-2031,0.0078,4320,2360,6250,10210,11470,1960,19670,65880,1440,2690,5510
25-2032,0.0088,420,190,530,330,580,220,660,4170,440,190,610
25-2053,0.016,450,400,890,1410,1810,270,4980,11320,170,260,670
25-2054,0.0077,860,390,1570,3100,2420,420,6530,17270,270,540,1180
25-3011,0.19,180,520,130,640,490,140,2480,5010,30,100,290
25-3021,0.13,1560,760,1820,4770,5580,650,16440,34010,230,640,1550
25-4011,0.76,0,0,0,0,0,0,640,870,,0,0
25-4012,0.0068,80,0,60,0,0,0,920,1310,20,0,50
25-4013,0.59,90,0,,0,0,,580,920,,0,70
25-4021,0.65,820,560,770,1850,2470,270,3530,11860,240,500,840
25-4031,0.99,400,390,370,1340,1510,170,2010,7390,260,340,600
25-9011,0.39,50,0,180,0,0,,0,680,30,0,60
25-9021,,,,,,,,,0,,,
25-9031,0.0042,980,450,770,760,1060,190,5800,11650,190,780,650
25-9041,0.56,6570,5030,8490,20120,22160,3180,44340,125840,2380,4450,9050
27-1011,0.023,150,60,160,210,320,0,6780,7960,,0,130
27-1012,,,,,0,,,260,,,,
27-1013,0.042,0,,0,0,0,,920,1350,,0,0
27-1014,,,50,0,,0,,1700,1960,,0,
27-1021,0.037,80,50,250,330,230,0,1730,2910,0,,110
27-1022,,,,,0,230,0,7020,7590,,,0
27-1023,0.047,180,100,190,270,0,,840,2570,50,110,280
27-1024,0.082,640,420,860,1350,1740,190,14790,21440,100,300,860
27-1025,0.022,90,0,150,,280,,1890,2970,,60,160
27-1026,0.48,160,190,340,690,1690,50,2980,6680,0,160,160
27-1027,,,0,0,0,0,,1830,2210,,,60
27-2012,0.022,330,160,310,430,530,0,19930,23490,50,170,240
27-2021,,,,0,0,,,0,,,,
27-2022,0.013,550,450,970,1620,1550,340,2580,9730,340,460,860
27-2023,0.98,0,0,0,0,,,,,,,0
27-2032,,,,,,0,,0,0,,,
27-2041,0.015,170,130,310,0,,120,1340,3480,100,140,210
27-3011,0.1,150,0,130,0,0,,1130,2030,60,,140
27-3012,0.72,50,50,0,0,110,,0,620,,0,
27-3021,,,0,,,,,810,,,,
27-3022,0.11,140,0,70,280,310,0,2940,4050,50,0,
27-3031,0.18,1430,560,1020,860,1400,160,18630,25440,150,440,690
27-3041,0.055,530,170,360,640,1150,120,16060,19890,40,190,310
27-3042,0.89,120,80,230,130,320,0,1290,2390,0,50,130
27-3043,0.038,160,60,130,320,310,0,5440,6800,0,70,110
27-3091,0.38,90,0,280,110,,90,1710,2720,,0,0
27-4011,0.55,130,290,180,300,380,0,4230,6580,30,140,430
27-4012,0.74,110,160,110,0,110,,3100,4010,,50,180
27-4014,0.13,0,,70,0,0,,1710,2100,,,0
27-4021,0.021,160,100,150,310,400,0,2280,3720,,90,100
27-4031,0.6,0,,80,,0,,1200,1620,20,,0
27-4032,0.31,0,,50,0,0,,4280,4850,,,
29-1011,0.027,160,,110,120,570,,610,1840,0,0,170
29-1021,0.0044,320,340,350,1040,1020,120,4040,7710,80,130,250
29-1022,0.0036,0,,,0,0,,0,660,,,0
29-1023,,,,,,0,,0,0,,,
29-1031,0.0039,310,170,310,780,710,150,1990,4960,90,130,320
29-1041,0.14,130,80,150,570,540,0,970,2690,0,60,130
29-1051,0.012,1320,650,870,2100,2720,630,9600,20430,390,420,1700
29-1071,0.14,800,580,810,930,2600,220,5000,12070,250,180,690
29-1081,0.0046,0,,0,0,300,,590,1140,,0,60
29-1122,0.0035,500,370,670,1150,1280,250,2650,8140,200,240,720
29-1123,0.021,1020,690,1070,1840,3380,340,6000,16390,390,350,1180
29-1124,0.34,160,,140,0,180,0,720,1540,0,0,190
29-1125,0.0028,60,0,130,250,310,70,580,1640,30,80,80
29-1126,0.066,360,240,410,610,900,150,2320,5840,100,160,540
29-1127,0.0064,770,360,770,1450,2000,230,4000,11360,210,260,1270
29-1131,0.038,240,160,250,580,720,0,620,3040,60,140,210
29-1181,0.0033,0,0,120,0,0,0,0,920,0,0,100
29-1199,0.02,50,90,,110,280,,1220,2110,0,0,50
29-2011,0.9,690,440,920,840,1700,220,4660,10380,180,260,420
29-2012,0.47,510,0,950,570,980,140,3270,7740,120,260,400
29-2021,0.68,690,650,1050,1150,2170,220,2820,10750,290,480,1230
29-2031,0.23,260,120,110,310,660,70,1220,3110,70,50,230
29-2032,0.35,280,210,390,570,840,160,1780,4730,70,150,270
29-2033,0.13,60,50,70,0,240,50,520,1260,40,0,110
29-2041,0.049,1330,680,1160,1830,2920,510,4620,14750,260,650,780
29-2051,0.13,0,0,110,100,110,0,320,930,30,0,70
29-2052,0.92,1270,620,1250,1600,2660,520,7050,17660,360,460,1800
29-2053,0.043,0,,170,370,0,,750,1540,,,50
29-2054,,,,0,0,0,,0,280,,,0
29-2055,0.34,310,200,350,430,700,130,2740,5560,70,160,460
29-2056,0.029,340,200,280,560,720,60,1370,4270,100,340,310
29-2061,0.058,3700,2940,3970,6010,5560,2090,14070,46990,1630,1800,5140
29-2071,0.91,650,480,500,870,1360,310,3270,8800,210,260,870
29-2081,0.71,150,170,250,730,620,100,800,3450,80,100,450
29-2091,0.0035,0,,,0,120,0,0,440,,,
29-9011,0.17,450,230,310,250,420,80,940,3230,80,110,270
29-9012,0.25,0,50,0,,0,0,520,730,,,0
29-9091,0.0071,0,110,110,250,160,50,0,1240,40,0,150
31-1011,0.39,4590,2170,4500,11620,12030,2140,128970,173830,1240,1210,5070
31-1013,0.47,260,0,150,1140,770,390,1860,5900,530,390,250
31-2011,0.028,100,0,140,450,260,70,790,2300,40,70,270
31-2012,0.27,0,0,,0,0,,0,400,0,0,50
31-2021,0.018,290,210,330,530,810,180,1110,4200,120,110,380
31-2022,0.61,70,90,110,460,930,0,940,2940,0,60,180
31-9011,0.54,290,90,,470,1290,110,1120,4180,30,100,0
31-9091,0.51,1030,800,1100,2270,3830,280,8800,20040,330,450,1120
31-9092,0.3,1090,710,990,2530,4130,330,11490,23860,250,430,1910
31-9093,0.78,210,80,140,240,560,100,1030,2720,60,100,190
31-9094,0.89,130,180,210,140,490,100,520,2190,60,50,300
31-9095,0.72,60,100,,170,710,0,1050,2480,130,0,140
31-9096,0.86,290,300,300,0,920,,400,3690,60,260,480
33-1011,0.025,350,150,390,750,,210,1100,3940,390,140,210
33-1012,0.0044,640,310,530,1310,1150,200,6970,12160,170,230,650
33-1021,0.0036,0,0,270,520,210,80,,3770,60,60,320
33-2011,0.17,210,0,710,1380,210,240,6300,10490,210,0,880
33-2021,0.48,70,0,0,0,0,,0,520,,0,0
33-2022,,,,,0,,,,0,,,
33-3011,0.36,210,130,240,460,440,100,,3960,50,90,230
33-3012,0.6,3020,1460,3770,6740,1460,1740,8780,34460,3900,1220,2340
33-3021,0.34,830,260,420,830,1190,140,3840,8920,360,220,810
33-3031,,,,,,,,,360,70,,
33-3041,,,,0,170,100,,0,490,,,0
33-3051,0.098,1880,1280,1950,4930,4960,900,27120,47870,820,1040,2930
33-3052,,,,,,,,1440,1480,,,
33-9011,0.21,110,80,80,130,0,50,,850,50,120,140
33-9021,0.31,120,50,60,0,150,,0,1960,,160,0
33-9031,,,,50,,,,,0,,,
33-9032,0.84,3090,2220,3220,9110,13690,910,72770,112750,420,970,5900
33-9091,0.49,140,140,230,470,1320,60,5470,8390,30,160,320
33-9092,0.67,820,300,490,810,1870,70,3260,8770,160,430,460
35-1011,0.1,890,280,630,2410,1460,300,7940,15110,260,280,640
35-1012,0.63,2770,2100,3350,4770,6850,1100,19780,46440,720,1440,3450
35-2011,0.81,0,570,1670,670,2230,0,7510,16780,1000,650,1680
35-2012,0.83,960,830,1430,2070,2250,640,4970,16020,540,700,1580
35-2014,0.96,3760,2600,3430,6670,9360,1160,33030,67370,1290,1320,4630
35-2015,0.94,600,0,1050,640,890,330,6450,12070,430,400,1040
35-2021,0.87,3300,2820,2870,6460,8690,1110,31460,63560,1000,2090,3670
35-3011,0.77,2960,1930,2750,4070,4710,1150,19090,43730,1160,1630,4210
35-3021,0.92,10930,8220,11600,18260,25010,4020,51870,158140,3340,6150,18340
35-3022,0.96,2010,1350,2460,1540,4450,660,15300,31480,270,520,2760
35-3031,0.94,8520,5280,10220,17270,22300,2770,69170,155660,3450,4010,12400
35-3041,0.86,1040,900,1070,2390,2060,620,6070,16550,260,590,1490
35-9011,0.91,1190,1510,1680,3750,3600,320,17980,33410,590,580,1750
35-9021,0.77,2190,1500,2390,3420,4460,950,14390,34360,880,1430,2690
35-9031,0.97,1300,800,1360,2780,3440,260,8800,20990,340,640,1230
37-1011,0.94,760,450,740,1610,1850,220,5700,13150,310,450,980
37-1012,0.57,230,260,380,810,1430,60,890,4770,130,180,390
37-2011,0.66,10680,7160,10740,20150,25620,3980,95330,196830,3200,6600,12310
37-2012,0.69,2770,1960,2210,6300,3880,1250,25460,50540,1160,1530,3860
